,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
239,20155,2.473122,2.51029,36.747726,37.3,0.46779442,-0.5522728
240,20159,2.1713946,1.79691,32.26441,26.7,0.40366587,5.5644073
241,20161,3.5917778,2.88717,53.369656,42.9,0.6251502,10.469654
242,20167,2.3025258,2.44972,34.212864,36.399998,0.43946558,-2.1871338
243,20169,2.2838547,1.39311,33.935436,20.7,0.37159202,13.2354355
244,20175,3.7040281,3.93705,55.037567,58.500004,0.48249406,-3.4624367
245,20177,3.4944232,2.30166,51.92308,34.2,0.58781075,17.72308
246,20183,3.14562,2.64489,46.74027,39.300003,0.449465,7.4402657
247,20191,1.9199224,0.8749,28.52782,13.0,0.33389857,15.527821
248,20197,3.55057,2.52375,52.757355,37.5,0.5649566,15.257355
249,20205,2.3969624,1.70942,35.616085,25.4,0.35049763,10.216085
250,26007,2.914719,2.27474,43.30935,33.8,0.20701857,9.50935
251,26011,3.343752,3.10926,49.68428,46.2,0.20392083,3.4842796
252,26015,3.5061517,3.41211,52.09735,50.7,0.2062078,1.3973503
253,26017,3.663242,3.77553,54.431534,56.100002,0.1898386,-1.6684685
254,26021,3.2465181,2.7593,48.2395,41.0,0.23943418,7.239498
255,26023,3.6010847,3.11599,53.507946,46.3,0.1946067,7.207947
256,26025,3.3282847,2.99485,49.454453,44.5,0.20231587,4.9544525
257,26027,3.420423,3.30443,50.82352,49.100002,0.23410887,1.7235184
258,26035,2.9691558,2.93428,44.118214,43.6,0.25489345,0.5182152
259,26037,3.5872202,3.0958,53.301933,46.0,0.18602905,7.3019333
260,26045,3.4682257,3.7015,51.533813,55.0,0.19833045,-3.4661865
261,26049,3.2838252,2.88717,48.793835,42.9,0.21592325,5.893833
262,26051,3.329177,3.33135,49.467712,49.5,0.22601137,-0.032287598
263,26055,2.7864182,2.47664,41.402946,36.8,0.26054773,4.602947
264,26057,3.7526233,3.75534,55.759632,55.800003,0.19151528,-0.04037094
265,26059,3.394831,3.51979,50.443253,52.3,0.20563656,-1.8567467
266,26063,3.6892009,3.84956,54.81725,57.2,0.16850229,-2.3827515
267,26065,3.6679857,3.28424,54.502018,48.8,0.1963061,5.7020187
268,26067,3.6854928,3.7688,54.76215,56.0,0.20367603,-1.2378502
269,26075,3.1980844,3.2304,47.51983,48.0,0.22831956,-0.4801712
270,26087,3.3640482,3.1631,49.98586,47.0,0.18880415,2.985859
271,26091,3.311765,3.22367,49.20899,47.9,0.21503885,1.3089867
272,26093,3.402897,3.26405,50.563103,48.5,0.19744629,2.0631027
273,26099,3.2196631,3.13618,47.84046,46.6,0.25984383,1.2404633
274,26105,3.0612395,3.06215,45.486473,45.5,0.25330824,-0.0135269165
275,26111,3.6041865,3.41211,53.554035,50.7,0.22071083,2.8540344
276,26115,3.2774131,2.8939,48.698563,43.0,0.26148486,5.6985626
277,26117,3.3885508,3.46595,50.349937,51.5,0.21700132,-1.1500626
278,26119,2.987061,2.63143,44.384266,39.1,0.20169921,5.2842674
279,26121,3.3619134,3.37173,49.95414,50.100002,0.26577413,-0.14586258
280,26123,3.2983856,3.19675,49.01019,47.5,0.25297007,1.510189
281,26125,3.1194503,3.11599,46.351418,46.3,0.2877292,0.051418304
