,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
621,46065,10.624591,10.24306,157.86911,152.2,0.9197753,5.669113
622,46069,11.353394,10.16903,168.69827,151.1,0.8251138,17.598267
623,46073,10.966445,10.88241,162.94867,161.7,0.7574046,1.2486725
624,46079,11.537897,12.29571,171.43977,182.7,0.5389845,-11.260223
625,46083,11.2039175,11.34678,166.47723,168.6,0.56503665,-2.1227722
626,46085,8.001655,6.46753,118.89532,96.1,1.0296655,22.795319
627,46087,11.065212,11.93902,164.41623,177.40001,0.58435446,-12.98378
628,46089,9.792743,10.69397,145.5088,158.9,0.76955545,-13.39119
629,46091,11.353803,12.17457,168.70435,180.90001,0.6937582,-12.195663
630,46093,3.9666564,3.365,58.93992,50.0,1.2527628,8.9399185
631,46095,5.2994986,5.1148,78.74441,76.0,1.113627,2.7444077
632,46097,10.712356,10.6334,159.17319,158.0,0.5864702,1.1731873
633,46101,12.385595,12.59183,184.0356,187.1,0.49916393,-3.0644073
634,46109,10.605961,12.13419,157.59229,180.3,0.71279365,-22.707718
635,46111,10.503235,9.88637,156.0659,146.9,0.7528157,9.165909
636,46119,10.9303255,10.44496,162.41197,155.2,0.85246795,7.211975
637,46123,8.341368,7.18091,123.94306,106.700005,1.0670444,17.243057
638,46125,11.400485,10.51226,169.398,156.20001,0.6246884,13.197983
639,46127,11.906744,12.1813,176.92043,181.0,0.57627773,-4.0795746
640,46135,11.662112,12.10054,173.28548,179.8,0.6448815,-6.5145264
641,55001,10.064439,8.08273,149.5459,120.100006,0.81844586,29.445892
642,55005,11.043607,10.768,164.0952,160.0,0.5232249,4.0951996
643,55011,11.854459,11.36024,176.14352,168.8,0.5312444,7.343521
644,55013,9.996763,8.36539,148.54031,124.299995,0.6768234,24.240318
