,FIPS,pred,yield,uncertainty
166,19193,51.19608,44.8,2.616019
167,17035,64.828186,64.4,3.126201
168,27131,52.408447,55.1,2.5789561
169,17001,58.82346,60.7,2.6616862
170,18161,64.456055,66.9,2.226275
172,26099,49.585224,44.0,3.0559452
173,17071,66.87016,66.0,2.455946
175,31169,44.037052,50.4,3.283585
176,29075,54.38277,54.3,3.000022
177,38029,39.117306,40.6,2.6122859
178,17107,67.0872,68.4,2.3625145
179,38003,40.900665,37.5,2.2847185
180,39097,59.96852,59.6,2.053825
181,55039,53.76443,58.9,2.741885
182,20105,12.291071,15.7,3.1283667
183,29197,44.10439,42.2,2.7218764
184,29111,49.581585,46.4,2.5854254
185,46089,38.242214,45.5,3.0797384
186,38065,37.44825,43.0,3.204502
187,17143,63.80363,70.7,2.4375277
188,39133,51.340397,51.8,3.3139243
189,55011,49.20274,49.5,3.4752584
191,18179,64.56003,64.1,2.0531766
192,46125,46.196453,45.8,2.8181
193,19017,57.07372,54.5,2.2053573
194,38101,29.387985,34.9,2.9216447
195,20177,35.22939,34.3,3.630458
196,31021,54.525333,48.0,2.6258934
197,19087,61.015182,63.9,2.4346788
198,29183,54.099712,54.0,3.2324297
199,17181,51.773106,45.3,3.3198063
200,39141,56.797543,59.7,2.442968
201,55049,53.25539,56.4,2.5040374
202,18055,58.26694,56.8,2.7287838
203,27147,53.777172,53.5,2.0632062
205,18021,62.119755,60.9,2.4180622
206,19123,62.30342,62.7,2.662045
207,29155,55.991814,53.4,3.3917513
208,27053,45.0124,58.1,4.4117236
209,17153,53.470478,50.4,2.9330463
210,26115,53.3475,52.4,2.4939837
211,18091,59.15804,60.1,2.2531128
212,31127,60.556408,54.7,2.9211965
213,31093,52.920433,59.9,2.845507
214,27089,39.69727,38.7,3.7170439
215,17189,57.030266,48.4,2.3798993
216,26151,53.56967,46.8,2.2936456
217,55121,46.92599,44.2,3.285607
218,20029,19.108315,20.1,3.2906034
219,18127,59.944332,56.3,2.279541
220,31163,52.147728,51.1,2.755948
222,26057,55.066093,46.5,2.1913571
223,19195,55.35761,51.0,1.8582126
224,17029,69.57121,71.3,2.8434381
225,27125,40.291576,38.8,3.6012707
226,20001,27.968555,23.2,3.4660246
227,18163,59.853397,66.7,2.7655637
229,26093,49.978317,43.1,2.5031326
230,29007,50.43542,48.9,2.5873384
231,46043,41.96291,41.7,2.9317048
232,39029,53.493595,52.9,2.8867981
233,20037,36.809948,27.7,3.204489
234,29069,49.057747,46.0,3.5313058
235,38031,38.62055,38.4,2.123747
236,17101,61.736732,60.8,2.8345335
237,39099,52.729763,50.6,3.0712705
238,55033,48.573715,45.1,3.2768466
239,20107,37.140293,26.6,3.5579243
240,29199,53.370647,47.0,2.7000113
241,20073,14.903878,13.9,3.7528632
242,46091,46.29575,47.0,3.0512466
243,38067,37.77296,32.6,2.922613
244,17137,66.45494,68.0,2.658864
245,46051,43.421516,41.7,3.390054
246,39135,61.616177,61.4,2.251574
247,20143,18.022074,17.5,3.1521115
249,29141,42.26945,41.1,3.4769094
250,46127,53.571987,49.9,2.2590818
251,19019,55.85771,51.8,2.077858
252,38103,38.150562,40.8,2.2971008
253,39107,61.79636,61.4,2.099919
254,31023,53.96887,45.0,2.7191918
255,26015,50.885826,41.3,2.6609743
256,19081,60.68249,60.2,1.936576
257,29177,49.93578,50.4,2.6585295
258,19055,58.463093,52.3,2.1159258
259,27019,50.859608,57.8,2.9586096
260,17183,65.02494,68.4,2.1900551
261,39143,59.14967,60.3,2.24959
262,26137,37.791878,25.2,4.733541
263,18049,62.613728,52.3,2.2128346
264,27141,38.671383,43.1,4.199928
266,18023,67.21681,67.5,2.0945678
267,31059,55.720684,57.7,2.5928276
268,19117,49.384293,51.7,2.6951935
269,17155,64.77721,64.6,2.288903
270,55087,51.682995,48.1,3.1418116
271,18085,60.66901,59.9,2.373227
272,31121,54.793507,65.9,3.022721
273,31095,41.232597,38.0,2.8826978
274,26023,53.69411,42.5,2.4122763
275,19153,58.22199,61.2,2.497902
276,17191,58.220047,56.9,2.6174421
277,26145,53.436337,47.9,2.25026
278,55123,45.187855,40.4,2.8759668
279,20031,23.332335,20.5,3.2334826
281,26059,51.71375,44.9,2.4789195
282,19189,61.2165,60.7,1.832318
283,27127,47.71285,49.4,2.4201114
284,18157,64.14915,67.1,2.2669754
285,29001,48.01801,49.2,2.7720687
286,17067,65.43121,65.0,2.658582
287,39057,62.937683,61.9,2.3195646
288,39031,54.11785,61.1,2.6883783
289,29071,45.219543,40.4,4.127694
290,19005,54.496014,52.2,2.2391245
291,29037,36.775356,33.6,3.4612448
292,17103,62.239025,64.7,2.1458802
293,46073,36.9204,45.9,3.287908
294,39093,53.61063,53.9,2.5925987
295,55035,44.564068,45.7,3.824957
297,29107,56.233093,49.6,2.696317
298,46085,25.263273,37.6,4.5730424
299,17139,70.04823,72.5,2.8699267
300,39129,60.045856,61.2,2.1059406
301,18009,61.990776,61.3,2.1020284
302,29143,53.29541,55.5,3.2487366
303,19013,52.289177,51.1,2.2183423
304,38097,41.58243,39.3,2.4814599
305,39165,55.58881,57.0,2.8109074
306,20173,23.087057,24.6,4.0138245
307,18079,58.97612,56.4,2.3719974
308,19083,62.643925,62.2,2.1357458
309,19049,61.036777,60.8,2.3138201
310,27013,55.791695,60.6,2.1654472
311,17177,59.057888,62.5,2.2744298
312,39137,58.059315,58.4,2.1901376
